,anharmfreq,rOH,rHO,rOO,tOHO,EFddec,EFddec_tot,EFddec_proj_HO,sOH,sOHQM,EFddec_perp
31,3035.131,0.994650692655465,1.8232206438059,2.6600023895477998,139.60241275173598,0.04959979826089799,0.050283056900070996,0.038291417636976,0.8814148565181709,0.7503,0.008261103055525
32,3413.656,0.9803740158225329,2.26720219188761,3.20034233387617,158.66810639781798,0.024931942290075,0.027303136636301004,0.025029485626249997,0.9448204951866409,0.7998,0.011129219371765
33,2825.5009999999997,1.0026097203299,1.7623180140088202,2.64816767977408,145.199879289649,0.058561501110130997,0.058594587525947,0.047358798643161996,0.856592019755685,0.7271,0.001968825808436
34,3540.7090000000003,0.9743385907373271,3.0,3.5,100.0,0.010344143216756,0.014412181103685,0.0,0.989556840280568,0.8471,0.010035420533124
35,3040.2740000000003,0.994478412737047,1.82539873408524,2.66073942395718,139.444305186119,0.049306859835374,0.049967872611825996,0.037961787009482,0.88202045484281,0.7506,0.00810073246852
36,3413.966,0.9802769537227729,2.2670706489212002,3.20032065624681,158.714157577223,0.024926755490562,0.027275045285838,0.025046779853646,0.944729294847057,0.8,0.011071809068902
37,3039.43,0.9935469612454181,1.85470369957037,2.63346908836994,132.885600410909,0.087840386523485,0.08794164021850999,0.057188484442836,0.876287058144739,0.7537,0.0042188363000620005
38,3525.7529999999997,0.9756218444663879,3.0,3.5,100.0,0.012536615582863002,0.015973711341016,0.0,0.9838764283701981,0.8285,0.00989912742284
39,3263.478,0.986979802984843,2.02289475477594,2.75335440526642,129.032891085992,0.038019350575287,0.03850746893775,0.023085069291047998,0.915478209012745,0.7666,0.0061118038110880004
40,3513.575,0.9757429473995691,3.0,3.5,100.0,0.040938224214647996,0.042616367890548,0.0,0.9694413015053029,0.8746,0.011841309485597999
41,2957.7929999999997,0.99764850473501,1.8058997793620801,2.6692867322376603,142.75725034213198,0.052993666312330004,0.053092583016395994,0.041178773194984,0.8688017939056141,0.7359,0.003239398421052
42,3531.2990000000004,0.975171994829629,3.0,3.5,100.0,0.01311813184937,0.016529826056803996,0.0,0.987132502636922,0.8319,0.010057324010429
43,2985.893,0.9960468893581259,1.7917086674456901,2.64921738330398,142.08912214236602,0.051726153694303,0.05221322880873599,0.040801018274287996,0.8706814908146631,0.7438,0.007115215149715
44,3434.808,0.9795872584410229,2.31313279048134,3.2291335118418396,155.29768181053302,0.023023912664459998,0.025843279889735,0.023163770438429,0.9495376414382629,0.8052,0.011737740884793001
45,3542.8790000000004,0.974339156402944,3.0,3.5,100.0,0.011350611060228997,0.016024893559437998,0.0,0.989545530916578,0.8459,0.011311977817813998
46,2533.314,1.01317693963098,1.6758739687100601,2.60255820518965,149.908363333925,0.07061041933197298,0.070732644693876,0.061394207776017,0.835445924908511,0.7101,0.0041564055568499994
47,3542.828,0.974282980966003,3.0,3.5,100.0,0.011353231050793,0.016016853081389,0.0,0.9895485753469291,0.8459,0.011297952351559998
